,id,username,date,like
164,1361749184144146433,radioelshinta,2021-02-17,@andileqra
165,1361746667561570304,radioelshinta,2021-02-17,@Agus_kremes
166,1361724521711996931,radioelshinta,2021-02-17,@kopibubukhitam
167,1361698175728316416,radioelshinta,2021-02-16,@LilianL92090469
169,1361434611260170241,radioelshinta,2021-02-16,@abdee_sasmito
172,1360973122942300161,radioelshinta,2021-02-14,@Ismu2872
173,1360805307304144896,radioelshinta,2021-02-14,@nw_atmoko
174,1360794580048744450,radioelshinta,2021-02-14,@bayoangin98
176,1360773394958983169,radioelshinta,2021-02-14,@syapitra_dodi
178,1360743762784178179,radioelshinta,2021-02-14,@AhmadJapra7
179,1360662523905626114,radioelshinta,2021-02-14,@kandardini
180,1360637845082284036,radioelshinta,2021-02-14,@margo_siswadi
181,1360621707443118080,radioelshinta,2021-02-13,@margo_siswadi
182,1360413609805766656,radioelshinta,2021-02-13,@afumadokomedo
183,1360413549193928704,radioelshinta,2021-02-13,@wargapucanggadi
185,1360413349633134594,radioelshinta,2021-02-13,@afumadokomedo
187,1360078124877107202,radioelshinta,2021-02-12,@anhar29
188,1359959139754119169,radioelshinta,2021-02-12,@Nasia54207577
189,1359793074642120704,radioelshinta,2021-02-11,@jenywuri
190,1359722949725491203,radioelshinta,2021-02-11,@Edirman12
191,1359578883905835012,radioelshinta,2021-02-11,@ajiechrist
192,1359526790289448963,radioelshinta,2021-02-10,@kandardini
194,1359329167439921153,radioelshinta,2021-02-10,@YTejamulia
195,1358470436867088384,radioelshinta,2021-02-08,@matheusbintoro1
196,1358425917207449600,radioelshinta,2021-02-07,@dhady_doank
197,1358342948551753730,radioelshinta,2021-02-07,@AnakBabeGw
198,1357873323959492608,radioelshinta,2021-02-06,@Pipit35276355
199,1357744277070123008,radioelshinta,2021-02-06,@AsriPodungge
200,1357131518188027905,radioelshinta,2021-02-04,@RosiRosdianah
201,1357003008278556673,radioelshinta,2021-02-03,@Bejo03673509
202,1356740818103529472,radioelshinta,2021-02-03,@hamesoetanto
203,1356453994617397253,radioelshinta,2021-02-02,@thewonderof_you
204,1356446097766457345,radioelshinta,2021-02-02,@DMDSZ1
205,1356206084130672643,radioelshinta,2021-02-01,@AswinThaufiek
206,1356121335047409665,radioelshinta,2021-02-01,@Nji011
207,1356107168601100296,radioelshinta,2021-02-01,@Sjteddy1
209,1356092675653439499,radioelshinta,2021-02-01,@suneather17
212,1356085267845705729,radioelshinta,2021-02-01,@Sidik12425832
213,1355846832518090755,radioelshinta,2021-01-31,@TheRainesia
214,1355703491235209218,radioelshinta,2021-01-31,@johnmsianturi
215,1355703305247154176,radioelshinta,2021-01-31,@johnmsianturi
216,1355599159911469066,radioelshinta,2021-01-31,@menaramslestari
217,1355583362824425475,radioelshinta,2021-01-31,@margo_siswadi
219,1355348890350829574,radioelshinta,2021-01-30,@enitarobentrop
221,1355079006677159947,radioelshinta,2021-01-29,@gudesandy
222,1354992838518292482,radioelshinta,2021-01-29,@rie_erie_
224,1354974015958306824,radioelshinta,2021-01-29,@QKlaten
226,1354759287201959936,radioelshinta,2021-01-28,@Hokage_keempat
227,1354683373147414530,radioelshinta,2021-01-28,@czfrn9110
228,1354624352864456705,radioelshinta,2021-01-28,@kafirliberal
229,1354621764098170891,radioelshinta,2021-01-28,@obhedk
230,1354470986691735555,radioelshinta,2021-01-27,@riyoajah
231,1354454441383010305,radioelshinta,2021-01-27,@haiimadison
232,1354428541748666369,radioelshinta,2021-01-27,@Desy_Abdullah
233,1354348260027027458,radioelshinta,2021-01-27,@AnakBabeGw
234,1354281358625959936,radioelshinta,2021-01-27,@silvynur
236,1354037286741053440,radioelshinta,2021-01-26,@pepenindrasakti
237,1353984775980085249,radioelshinta,2021-01-26,@alambanten
238,1353588401795067904,radioelshinta,2021-01-25,@kang_tarom
240,1353530781843431425,radioelshinta,2021-01-25,@fransisko_xl
241,1353530683428200448,radioelshinta,2021-01-25,@LaporGub_
242,1353527519639597057,radioelshinta,2021-01-25,@AgusRiy89630858
243,1353499933790228480,radioelshinta,2021-01-25,@turunBuyutKarti
244,1353313503071793155,radioelshinta,2021-01-24,@CideeRiesta
246,1353281443984678912,radioelshinta,2021-01-24,@hendy_ac
247,1353266249749254144,radioelshinta,2021-01-24,@FMKBR1
248,1353213372347518976,radioelshinta,2021-01-24,@karimamrullah82
249,1353124577530900480,radioelshinta,2021-01-24,@fikaosman
250,1353015967991828480,radioelshinta,2021-01-23,@adelinguist
251,1352932700848492545,radioelshinta,2021-01-23,@eswirosudiro
252,1352902065127710720,radioelshinta,2021-01-23,@widyarani2010
253,1352883867858817030,radioelshinta,2021-01-23,@MartinParlindu1
254,1352856672092319744,radioelshinta,2021-01-23,@syukurherman_
256,1352592227671785472,radioelshinta,2021-01-22,@turunBuyutKarti
298,1349607296649764864,radioelshinta,2021-01-14,@AnakBabeGw
299,1349573481235578886,radioelshinta,2021-01-14,@eko_parminto
300,1349572366779617280,radioelshinta,2021-01-14,@aulia_yonantha
302,1349540454023380992,radioelshinta,2021-01-14,@turunBuyutKarti
303,1349498702138798082,radioelshinta,2021-01-14,@macan1962
304,1349351551924539393,radioelshinta,2021-01-13,@1717Fifin
305,1349316706288586758,radioelshinta,2021-01-13,@Iyo_mataram
306,1349303206011043844,radioelshinta,2021-01-13,@sriyunitazizah
307,1349289875095261184,radioelshinta,2021-01-13,@DenyHalemun
308,1349282670170181632,radioelshinta,2021-01-13,@Krembangan1022
309,1349274441880985600,radioelshinta,2021-01-13,@sutrisnoam
310,1349270664176308225,radioelshinta,2021-01-13,@PennyChAdam
311,1349267696580403202,radioelshinta,2021-01-13,@AchmadWiria
312,1349260878625923072,radioelshinta,2021-01-13,@AdeNovit27
313,1349238408116277248,radioelshinta,2021-01-13,@anasmbelink
314,1349217656625221632,radioelshinta,2021-01-13,@Mulyo84842879
315,1349212410800791552,radioelshinta,2021-01-13,@sutrisnoam
316,1349200076455825409,radioelshinta,2021-01-13,@anasmbelink
317,1349195942189166592,radioelshinta,2021-01-13,@anasmbelink
318,1349195819354710023,radioelshinta,2021-01-13,@Kribbo3
319,1349180901448577026,radioelshinta,2021-01-13,@Nowhere143
320,1349168561160245250,radioelshinta,2021-01-13,@Jaminainggolan2
321,1349165867624370177,radioelshinta,2021-01-13,@bowo13v
322,1349165832820060160,radioelshinta,2021-01-13,@SangRajawali14
323,1349147688839700481,radioelshinta,2021-01-13,@marhalindo
326,1348958150821605377,radioelshinta,2021-01-12,@biofarmaID
327,1348929683119697922,radioelshinta,2021-01-12,@__Ndaru__
328,1348917349907189765,radioelshinta,2021-01-12,@faridariadno
329,1348903021619515399,radioelshinta,2021-01-12,@polos_kucing
330,1348883825028288513,radioelshinta,2021-01-12,@aulia_yonantha
331,1348882707015557120,radioelshinta,2021-01-12,@thea_effendy
333,1348881725313544195,radioelshinta,2021-01-12,@Darmawan_bs
334,1348881690836418562,radioelshinta,2021-01-12,@yusuf_rizall
335,1348881176941842434,radioelshinta,2021-01-12,@1717Fifin
336,1348864034456522752,radioelshinta,2021-01-12,@Darmawan_bs
338,1348821025442590720,radioelshinta,2021-01-12,@suryaamriza
339,1348820981670846466,radioelshinta,2021-01-12,@akuya_aikya
340,1348653694108069889,radioelshinta,2021-01-11,@Markusli3
342,1348596432039596040,radioelshinta,2021-01-11,@AnakBabeGw
343,1348593258457231360,radioelshinta,2021-01-11,@suryaamriza
344,1348575739621216256,radioelshinta,2021-01-11,@DeniRamdhani87
345,1348562148792750085,radioelshinta,2021-01-11,@auliaabdulfata2
347,1348545760065847298,radioelshinta,2021-01-11,@samuel_atika
348,1348381299132616704,radioelshinta,2021-01-11,@drasidin
349,1348261272064724993,radioelshinta,2021-01-10,@hiskya_sebayang
350,1347869160756285444,radioelshinta,2021-01-09,@sugengwaluyo08
351,1347787204312014849,radioelshinta,2021-01-09,@Pipit35276355
352,1347773814415925251,radioelshinta,2021-01-09,@anasmbelink
353,1347771524829249536,radioelshinta,2021-01-09,@Leva9870
354,1347735887514267648,radioelshinta,2021-01-09,@AnakBabeGw
355,1347556308581449730,radioelshinta,2021-01-08,@Tommy93507168
356,1347539301630943233,radioelshinta,2021-01-08,@Purbajaya2
357,1347519744706895872,radioelshinta,2021-01-08,@YoyokSubandriy3
358,1347505622367969280,radioelshinta,2021-01-08,@Naina30770166
360,1347497156387565568,radioelshinta,2021-01-08,@AnakBabeGw
361,1347464746769870849,radioelshinta,2021-01-08,@tam_oke
362,1347453058922397697,radioelshinta,2021-01-08,@sakuratwit1
365,1347192613904863233,radioelshinta,2021-01-07,@kandardini
366,1347169567034859524,radioelshinta,2021-01-07,@dayatchentank18
368,1346776563358994433,radioelshinta,2021-01-06,@menaramslestari
369,1346747171157118978,radioelshinta,2021-01-06,@s_fadjriyani
370,1346737431643521024,radioelshinta,2021-01-06,@mrgrtaaww
371,1346724451056979969,radioelshinta,2021-01-06,@tidak_oval
372,1346721057063927811,radioelshinta,2021-01-06,@yunwin34
373,1346702276128169984,radioelshinta,2021-01-06,@ardi54380721
375,1346665556263329794,radioelshinta,2021-01-06,@anasmbelink
376,1346631425185890304,radioelshinta,2021-01-06,@endahindri12
377,1346624475270266880,radioelshinta,2021-01-06,@anasmbelink
378,1346621506172846080,radioelshinta,2021-01-06,@AnakSmp97
379,1346586123653431298,radioelshinta,2021-01-06,@suryaamriza
380,1346536008418951168,radioelshinta,2021-01-06,@WasUgly
381,1346514332499152897,radioelshinta,2021-01-06,@anasmbelink
382,1346374992133410817,radioelshinta,2021-01-05,@BoediPoenya86
383,1346326537096708096,radioelshinta,2021-01-05,@AnakBabeGw
384,1346312654650974208,radioelshinta,2021-01-05,@AnakBabeGw
386,1346250130471620610,radioelshinta,2021-01-05,@afriani1999
387,1346071234530791424,radioelshinta,2021-01-04,@Sjteddy1
389,1346022567396556800,radioelshinta,2021-01-04,@Alunk_bule
390,1345957076556603393,radioelshinta,2021-01-04,@kandardini
393,1345918259095248897,radioelshinta,2021-01-04,@JawaraRobi
394,1345904416264581120,radioelshinta,2021-01-04,@bindunada
395,1345878792179339266,radioelshinta,2021-01-04,@Surosobe
396,1345790816489332736,radioelshinta,2021-01-04,@Ruslinkan
397,1345669237327630336,radioelshinta,2021-01-03,@BobyWibs
398,1345271445459324930,radioelshinta,2021-01-02,@Ismu2872
399,1345264805007872001,radioelshinta,2021-01-02,@DianaSR49909301
400,1345242361182388224,radioelshinta,2021-01-02,@JoRadja
402,1344922775836786692,radioelshinta,2021-01-01,@menaramslestari
403,1344914426747441158,radioelshinta,2021-01-01,@tsaden3
404,1344817286335533056,radioelshinta,2021-01-01,@SilvinaVina6
407,1344567608318672898,radioelshinta,2020-12-31,@Ilhan62767245
409,1344530243998994433,radioelshinta,2020-12-31,@Lamolam06704729
410,1344520677907263488,radioelshinta,2020-12-31,@elinariyani
412,1344518848981078016,radioelshinta,2020-12-31,@roswitaeve
413,1344510750711169024,radioelshinta,2020-12-31,@Ritaherayanti1
414,1344257831663353856,radioelshinta,2020-12-30,@l3na_l3na
415,1344206073947848705,radioelshinta,2020-12-30,@abyanlakstian
416,1344159065111285762,radioelshinta,2020-12-30,@Bp_HasbiJunaedi
417,1343923573061107717,radioelshinta,2020-12-29,@ProkopimMabar
418,1343912624388333573,radioelshinta,2020-12-29,@aan_noviandi
419,1343701706605953025,radioelshinta,2020-12-29,@Bp_HasbiJunaedi
420,1343570114004729859,radioelshinta,2020-12-28,@FarhanF83325726
421,1343470321429479424,radioelshinta,2020-12-28,@Bp_HasbiJunaedi
422,1343448090070589440,radioelshinta,2020-12-28,@Bp_HasbiJunaedi
423,1343386928318537729,radioelshinta,2020-12-28,@Bp_HasbiJunaedi
425,1343119246004404225,radioelshinta,2020-12-27,@Bp_HasbiJunaedi
426,1343088653933760512,radioelshinta,2020-12-27,@Bp_HasbiJunaedi
427,1342787575728152577,radioelshinta,2020-12-26,@Bp_HasbiJunaedi
428,1342654464025497600,radioelshinta,2020-12-26,@Bp_HasbiJunaedi
429,1342040850310725635,radioelshinta,2020-12-24,@Adityardhana
431,1342039739977777153,radioelshinta,2020-12-24,@percayaNgl
432,1341283846533181440,radioelshinta,2020-12-22,@Bp_HasbiJunaedi
433,1340465770535370753,radioelshinta,2020-12-20,@RukmanHakim79
434,1340442016644091905,radioelshinta,2020-12-20,@Bp_HasbiJunaedi
435,1340384507795394560,radioelshinta,2020-12-20,@Bp_HasbiJunaedi
436,1340136623292313600,radioelshinta,2020-12-19,@Bp_HasbiJunaedi
437,1339907714885931009,radioelshinta,2020-12-18,@unedo18
438,1339850956108787712,radioelshinta,2020-12-18,@Bp_HasbiJunaedi
439,1339560635751751682,radioelshinta,2020-12-17,@Bp_HasbiJunaedi
440,1339460633796866048,radioelshinta,2020-12-17,@Bp_HasbiJunaedi
441,1339412698119827459,radioelshinta,2020-12-17,@Bp_HasbiJunaedi
442,1339379996511518721,radioelshinta,2020-12-17,@Bp_HasbiJunaedi
443,1339365105159454721,radioelshinta,2020-12-17,@Bp_HasbiJunaedi
444,1339345032063537152,radioelshinta,2020-12-17,@1926Pionerr
445,1339317179641053185,radioelshinta,2020-12-17,@Bp_HasbiJunaedi
446,1339271813990211584,radioelshinta,2020-12-17,@Bp_HasbiJunaedi
447,1339256772498870272,radioelshinta,2020-12-17,@Bp_HasbiJunaedi
448,1339240529758842880,radioelshinta,2020-12-16,@PemudaDesaId
449,1339234950600564738,radioelshinta,2020-12-16,@Bp_HasbiJunaedi
450,1339212421349527554,radioelshinta,2020-12-16,@Bp_HasbiJunaedi
451,1339119883167002635,radioelshinta,2020-12-16,@yanarenada
452,1338999961741000704,radioelshinta,2020-12-16,@Bp_HasbiJunaedi
453,1338953216721973248,radioelshinta,2020-12-16,@Bp_HasbiJunaedi
454,1338912687418265600,radioelshinta,2020-12-16,@Bp_HasbiJunaedi
455,1338500986940190722,radioelshinta,2020-12-14,@Bp_HasbiJunaedi
456,1338466290239827969,radioelshinta,2020-12-14,@Bp_HasbiJunaedi
458,1338416122031349760,radioelshinta,2020-12-14,@Bp_HasbiJunaedi
459,1338385846588776449,radioelshinta,2020-12-14,@Bp_HasbiJunaedi
460,1338374107646201856,radioelshinta,2020-12-14,@Bp_HasbiJunaedi
461,1338281736870846465,radioelshinta,2020-12-14,@Bp_HasbiJunaedi
463,1338100396821123077,radioelshinta,2020-12-13,@Bp_HasbiJunaedi
464,1337698258953457664,radioelshinta,2020-12-12,@Bp_HasbiJunaedi
465,1337631093407694851,radioelshinta,2020-12-12,@Bp_HasbiJunaedi
467,1337503224215965696,radioelshinta,2020-12-12,@Kribbo3
468,1337464084124471296,radioelshinta,2020-12-12,@margo_siswadi
470,1337417911200141315,radioelshinta,2020-12-11,@Bp_HasbiJunaedi
471,1337194516076322816,radioelshinta,2020-12-11,@Bp_HasbiJunaedi
472,1337181364651577344,radioelshinta,2020-12-11,@Bp_HasbiJunaedi
473,1337181210825510912,radioelshinta,2020-12-11,@Bp_HasbiJunaedi
474,1337179643351166976,radioelshinta,2020-12-11,@andikas31814368
475,1337179320347840513,radioelshinta,2020-12-11,@Dewi65582978
476,1337173641465741312,radioelshinta,2020-12-11,@andikas31814368
477,1337168774416326657,radioelshinta,2020-12-11,@Bp_HasbiJunaedi
478,1337042888522424328,radioelshinta,2020-12-10,@Bp_HasbiJunaedi
479,1337031270660939776,radioelshinta,2020-12-10,@Bp_HasbiJunaedi
480,1336843094419931137,radioelshinta,2020-12-10,@l3na_l3na
482,1336809097858048000,radioelshinta,2020-12-10,@FajarThama
483,1336742467698225153,radioelshinta,2020-12-10,@Bp_HasbiJunaedi
484,1336648956336504834,radioelshinta,2020-12-09,@Bp_HasbiJunaedi
485,1336643896395231232,radioelshinta,2020-12-09,@Bp_HasbiJunaedi
486,1336641747280162818,radioelshinta,2020-12-09,@Bp_HasbiJunaedi
487,1336626652990889987,radioelshinta,2020-12-09,@Bp_HasbiJunaedi
488,1336592750939000832,radioelshinta,2020-12-09,@marcelinogmail5
489,1336577380039606272,radioelshinta,2020-12-09,@Rahwanasaputra1
490,1336320500214067205,radioelshinta,2020-12-08,@Bp_HasbiJunaedi
491,1336186628943974400,radioelshinta,2020-12-08,@Bp_HasbiJunaedi
492,1336047294878085120,radioelshinta,2020-12-08,@Bp_HasbiJunaedi
493,1335966995762704385,radioelshinta,2020-12-07,@Bp_HasbiJunaedi
494,1335927278736306178,radioelshinta,2020-12-07,@Bp_HasbiJunaedi
495,1335911529582002176,radioelshinta,2020-12-07,@Bp_HasbiJunaedi
496,1335840260635312128,radioelshinta,2020-12-07,@putraGPS
497,1335831029588795393,radioelshinta,2020-12-07,@Bp_HasbiJunaedi
499,1335807040371888128,radioelshinta,2020-12-07,@Bp_HasbiJunaedi
500,1335802422128640002,radioelshinta,2020-12-07,@Fadilramdani9
501,1335795882399166464,radioelshinta,2020-12-07,@Bp_HasbiJunaedi
502,1335766366582784002,radioelshinta,2020-12-07,@AchmadW11147396
503,1335725097181532160,radioelshinta,2020-12-07,@Bp_HasbiJunaedi
504,1335606287090913280,radioelshinta,2020-12-06,@Naizan8
505,1335595170348208128,radioelshinta,2020-12-06,@MouserPcp
506,1335591727533416448,radioelshinta,2020-12-06,@Bp_HasbiJunaedi
507,1335468686639996928,radioelshinta,2020-12-06,@Bp_HasbiJunaedi
508,1335403226049343488,radioelshinta,2020-12-06,@Bp_HasbiJunaedi
509,1335191843793866753,radioelshinta,2020-12-05,@Bp_HasbiJunaedi
510,1335070083249360906,radioelshinta,2020-12-05,@anwardobelsix
511,1334963184298577924,radioelshinta,2020-12-05,@JustFeddy
512,1334572267624230913,radioelshinta,2020-12-04,@AchmadWiria
513,1334561891956375552,radioelshinta,2020-12-04,@Imotlyridemods
514,1334453070105780227,radioelshinta,2020-12-03,@Imotlyridemods
515,1334124949850652673,radioelshinta,2020-12-02,@sutrisnoam
516,1334124732698955779,radioelshinta,2020-12-02,@opikro
517,1334050203553259520,radioelshinta,2020-12-02,@bindunada
518,1333960224479141888,radioelshinta,2020-12-02,@FarahNathan24
520,1333927540302381057,radioelshinta,2020-12-02,@iwillexplor3
521,1333909722815098885,radioelshinta,2020-12-02,@menaramslestari
522,1333904323042893824,radioelshinta,2020-12-02,@menaramslestari
524,1333727794610597889,radioelshinta,2020-12-01,@Paulbae18064104
525,1333655436898123777,radioelshinta,2020-12-01,@menaramslestari
526,1333601825468006402,radioelshinta,2020-12-01,@Msismail14
527,1333236818104311808,radioelshinta,2020-11-30,@RECOVERADIO
529,1333199063081050112,radioelshinta,2020-11-30,@nysb86
530,1333185447988580353,radioelshinta,2020-11-30,@asepsaepullahk2
531,1333018621501710336,radioelshinta,2020-11-29,@DenyHalemun
534,1332480229659475968,radioelshinta,2020-11-28,@Bp_HasbiJunaedi
535,1332323971392438274,radioelshinta,2020-11-27,@realprincetotty
536,1331252915005112320,radioelshinta,2020-11-24,@lanunatuna
537,1330887956349870082,radioelshinta,2020-11-23,@indrafebriy48
538,1330865371830620160,radioelshinta,2020-11-23,@Markusli3
539,1330746917840588801,radioelshinta,2020-11-23,@PragyanLife
540,1330579996373524482,radioelshinta,2020-11-23,@menaramslestari
541,1330131937063825412,radioelshinta,2020-11-21,@dean_deanlova
542,1330053793086627842,radioelshinta,2020-11-21,@samoederaharapa
543,1329657118278918144,radioelshinta,2020-11-20,@kopibubukhitam
544,1329361857417678850,radioelshinta,2020-11-19,@Abindi2
547,1329230279689469952,radioelshinta,2020-11-19,@apandi94
548,1329228145208147968,radioelshinta,2020-11-19,@arifpri4
